scheduleid,cycle,s_eng,d_eng,departure_time,arrival_time
6,3,SHAHAPUR,SHAHAPUR,13:15:00,15:50:00
18,2,SHAHAPUR,THANE,13:15:00,18:50:00
30,3,SHAHAPUR,SHAHAPUR,13:15:00,16:20:00
39,3,SHAHAPUR,SHAHAPUR,13:30:00,16:15:00
7,4,SHAHAPUR,SHAHAPUR,13:35:00,15:25:00
29,2,SHAHAPUR,KOLIPADA,13:35:00,20:15:00
11,3,SHAHAPUR,SHAHAPUR,13:40:00,15:25:00
1,3,SHAHAPUR,SHAHAPUR,13:45:00,17:15:00
36,3,SHAHAPUR,SHAHAPUR,13:45:00,15:35:00
54,2,SHAHAPUR,BHIVANDI,13:45:00,20:20:00
8,4,SHAHAPUR,SHAHAPUR,14:00:00,21:35:00
28,2,SHAHAPUR,SHAHAPUR,14:00:00,15:05:00
32,2,SHAHAPUR,SHAHAPUR,14:00:00,16:10:00
43,3,SHAHAPUR,SHAHAPUR,14:00:00,16:10:00
44,4,SHAHAPUR,SHAHAPUR,14:00:00,16:05:00
47,2,SHAHAPUR,SHAHAPUR,14:00:00,16:05:00
51,9,SHAHAPUR,SHAHAPUR,14:00:00,14:45:00
53,2,SHAHAPUR,SHAHAPUR,14:00:00,18:55:00
2,3,SHAHAPUR,SHAHAPUR,14:15:00,17:45:00
14,4,SHAHAPUR,SHAHAPUR,14:15:00,21:40:00
19,2,SHAHAPUR,BALVANDI,14:15:00,21:05:00
24,2,SHAHAPUR,SHAHAPUR,14:15:00,21:25:00
25,2,SHAHAPUR,KOTHALA,14:15:00,20:20:00
26,4,SHAHAPUR,SHAHAPUR,14:15:00,16:40:00
35,3,SHAHAPUR,SHAHAPUR,14:15:00,16:05:00
41,3,SHAHAPUR,SHAHAPUR,14:20:00,15:15:00
13,4,SHAHAPUR,SHAHAPUR,14:35:00,17:10:00
40,8,SHAHAPUR,SHAHAPUR,14:35:00,15:30:00
50,4,SHAHAPUR,SHAHAPUR,14:35:00,18:25:00
45,4,SHAHAPUR,SHAHAPUR,14:40:00,22:20:00
3,3,SHAHAPUR,SHAHAPUR,14:45:00,18:15:00
52,3,SHAHAPUR,SHAHAPUR,14:45:00,18:45:00
20,3,SHAHAPUR,SHAHAPUR,14:50:00,16:45:00
37,3,SHAHAPUR,SHAHAPUR,15:00:00,22:20:00
46,4,SHAHAPUR,BELAVALI,15:00:00,19:45:00
51,10,SHAHAPUR,SHAHAPUR,15:00:00,15:55:00
56,2,SHAHAPUR,THANE,15:00:00,21:30:00
28,3,SHAHAPUR,SHAHAPUR,15:10:00,16:10:00
4,3,SHAHAPUR,SHAHAPUR,15:15:00,18:45:00
10,4,SHAHAPUR,SHAHAPUR,15:15:00,22:55:00
7,5,SHAHAPUR,SHAHAPUR,15:30:00,17:40:00
12,3,SHAHAPUR,SHAHAPUR,15:30:00,23:00:00
34,3,SHAHAPUR,SHAHAPUR,15:30:00,18:50:00
49,3,SHAHAPUR,SHAHAPUR,15:30:00,18:25:00
40,9,SHAHAPUR,SHAHAPUR,15:35:00,16:40:00
17,4,SHAHAPUR,MASAVANE,15:40:00,19:10:00
48,3,SHAHAPUR,MENGALPADA,15:40:00,20:10:00
11,4,SHAHAPUR,SHAHAPUR,16:00:00,17:25:00
57,2,SHAHAPUR,BORIVALI,16:00:00,21:15:00
31,6,SHAHAPUR,APATE,16:10:00,20:40:00
44,5,SHAHAPUR,SHAHAPUR,16:10:00,18:15:00
47,3,SHAHAPUR,SHAHAPUR,16:10:00,18:15:00
51,11,SHAHAPUR,SHAHAPUR,16:10:00,16:55:00
28,4,SHAHAPUR,SHAHAPUR,16:15:00,17:20:00
36,4,SHAHAPUR,JUNAVANI,16:15:00,20:30:00
42,5,SHAHAPUR,GUNDE,16:15:00,20:30:00
9,5,SHAHAPUR,KHARANGAN,16:20:00,20:05:00
32,3,SHAHAPUR,TEMBHARA,16:20:00,20:45:00
35,4,SHAHAPUR,SHAHAPUR,16:25:00,17:20:00
39,4,SHAHAPUR,SHAHAPUR,16:30:00,17:25:00
43,4,SHAHAPUR,SHAHAPUR,16:40:00,18:50:00
40,10,SHAHAPUR,SHAHAPUR,16:45:00,17:50:00
41,4,SHAHAPUR,KINHAVALI,17:00:00,22:20:00
51,12,SHAHAPUR,SHAHAPUR,17:05:00,17:50:00
13,5,SHAHAPUR,SHAHAPUR,17:15:00,18:10:00
35,5,SHAHAPUR,KINHAVALI,17:30:00,21:25:00
6,4,SHAHAPUR,SHAHAPUR,17:35:00,19:20:00
11,5,SHAHAPUR,ASTHA,17:40:00,19:45:00
1,4,SHAHAPUR,SHAHAPUR,17:45:00,21:15:00
28,5,SHAHAPUR,SHAHAPUR,17:50:00,18:55:00
39,5,SHAHAPUR,SHAHAPUR,18:00:00,19:05:00
51,13,SHAHAPUR,SHAHAPUR,18:00:00,18:45:00
30,4,SHAHAPUR,SHAHAPUR,18:05:00,19:50:00
7,6,SHAHAPUR,SHAHAPUR,18:10:00,19:40:00
2,4,SHAHAPUR,SHAHAPUR,18:15:00,21:45:00
38,3,SHAHAPUR,SHAHAPUR,18:15:00,20:05:00
13,6,SHAHAPUR,JARANDI,18:20:00,20:45:00
40,11,SHAHAPUR,SHAHAPUR,18:20:00,19:15:00
44,6,SHAHAPUR,BABARE,18:20:00,21:25:00
20,4,SHAHAPUR,DEHANE,18:30:00,21:00:00
49,4,SHAHAPUR,SHAHAPUR,18:35:00,22:25:00
27,9,SHAHAPUR,SHELAVALI,18:40:00,20:00:00
3,4,SHAHAPUR,SHAHAPUR,18:45:00,22:15:00
47,4,SHAHAPUR,GANESHPURI,18:45:00,20:15:00
51,14,SHAHAPUR,SHAHAPUR,18:55:00,19:40:00
52,4,SHAHAPUR,SHAHAPUR,18:55:00,22:50:00
28,6,SHAHAPUR,SHAHAPUR,19:00:00,19:55:00
43,5,SHAHAPUR,SHAHAPUR,19:00:00,21:10:00
50,5,SHAHAPUR,SHAHAPUR,19:00:00,21:10:00
53,3,SHAHAPUR,SHAHAPUR,19:00:00,20:40:00
4,4,SHAHAPUR,SHAHAPUR,19:15:00,22:45:00
39,6,SHAHAPUR,CHONDHA,19:15:00,20:30:00
34,4,SHAHAPUR,CHONDHA,19:20:00,21:45:00
40,12,SHAHAPUR,SHAHAPUR,19:20:00,20:25:00
6,5,SHAHAPUR,ASNOLI,19:25:00,20:45:00
5,2,SHAHAPUR,THANE,19:30:00,23:15:00
26,5,SHAHAPUR,KANAVE,20:00:00,21:25:00
28,7,SHAHAPUR,SHAHAPUR,20:00:00,21:05:00
30,5,SHAHAPUR,TAKIPATHAR,20:00:00,21:00:00
51,15,SHAHAPUR,SHAHAPUR,20:10:00,21:05:00
7,7,SHAHAPUR,KRUSHNACHI WADI,20:15:00,21:05:00
38,4,SHAHAPUR,SHAHAPUR,20:30:00,21:55:00
40,13,SHAHAPUR,SHAHAPUR,20:30:00,22:20:00
38,5,SHAHAPUR,KINHAVALI,22:25:00,23:45:00
10,5,SHAHAPUR,AASANGAON,23:35:00,23:45:00
